"accelRating","age","agilityRating","awareRating","bCVRating","bigHitTrait","birthDay","birthMonth","birthYear","blockShedRating","breakSackRating","breakTackleRating","cITRating","capHit","capReleaseNetSavings","capReleasePenalty","carryRating","catchRating","clutchTrait","college","confRating","contractBonus","contractLength","contractSalary","contractYearsLeft","coverBallTrait","dLBullRushTrait","dLSpinTrait","dLSwimTrait","desiredBonus","desiredLength","desiredSalary","devTrait","draftPick","draftRound","dropOpenPassTrait","durabilityGrade","elusiveRating","experiencePoints","feetInBoundsTrait","fightForYardsTrait","finesseMovesRating","firstName","forcePassTrait","hPCatchTrait","height","highMotorTrait","hitPowerRating","homeState","homeTown","impactBlockRating","injuryLength","injuryRating","injuryType","intangibleGrade","isActive","isFreeAgent","isOnIR","isOnPracticeSquad","jerseyNum","jukeMoveRating","jumpRating","kickAccRating","kickPowerRating","kickRetRating","lBStyleTrait","lastName","leadBlockRating","legacyScore","manCoverRating","passBlockFinesseRating","passBlockPowerRating","passBlockRating","penaltyTrait","physicalGrade","playActionRating","playBallTrait","playRecRating","playerBestOvr","playerSchemeOvr","portraitId","posCatchTrait","position","powerMovesRating","predictTrait","presentationId","pressRating","productionGrade","pursuitRating","qBStyleTrait","reSignStatus","releaseRating","rookieYear","rosterId","routeRunDeepRating","routeRunMedRating","routeRunShortRating","runBlockFinesseRating","runBlockPowerRating","runBlockRating","runStyle","scheme","sensePressureTrait","sizeGrade","skillPoints","specCatchRating","speedRating","spinMoveRating","staminaRating","stiffArmRating","strengthRating","stripBallTrait","tackleRating","teamId","teamSchemeOvr","throwAccDeepRating","throwAccMidRating","throwAccRating","throwAccShortRating","throwAwayTrait","throwOnRunRating","throwPowerRating","throwUnderPressureRating","tightSpiralTrait","toughRating","truckRating","weight","yACCatchTrait","yearsPro","zoneCoverRating","team"
91,25,85,90,39,1,3,8,1994,76,12,20,30,2950000,1950000,2000000,50,68,0,"LSU",54,3000000,3,6000000,2,2,1,0,0,0,0,0,1,26,5,0,0,35,11893,0,0,55,"Kwon",2,0,73,1,86,0,"Oxford",83,0,84,97,84,true,false,false,false,59,60,86,20,20,15,0,"Alexander",23,958,72,45,45,45,1,86,6,1,92,84,84,6989,0,"MLB",64,0,2567,57,78,84,1,11,15,2015,544604302,5,5,15,45,45,45,1,12,1,95,0,35,87,55,88,41,81,1,84,778043392,84,6,6,30,6,0,6,27,13,0,84,50,227,0,4,79,"49ers"
81,25,75,85,20,0,15,11,1993,81,12,16,10,5490000,4820000,670000,46,39,0,"Oregon",58,1340000,2,9470000,1,3,1,0,1,0,0,0,1,18,2,0,0,26,3199,0,0,72,"Arik",2,0,79,0,79,4,"Sacramento",86,0,82,97,83,true,false,false,false,91,15,83,30,30,10,1,"Armstead",16,103,39,45,45,45,1,78,6,1,81,85,85,7003,0,"LE",88,0,2533,35,92,85,0,0,12,2015,544604361,2,3,10,45,45,45,5,10,1,99,0,15,70,25,73,45,87,0,89,778043392,83,6,6,32,6,0,6,35,17,0,83,44,292,0,4,52,"49ers"
81,25,77,68,70,0,16,11,1993,28,39,59,17,730000,560000,340000,60,30,0,"Iowa",51,680000,4,2480000,2,4,0,0,0,0,0,0,0,41,4,0,0,56,5410,0,1,10,"C.J.",0,0,74,1,24,41,"Franklin",14,0,86,97,64,true,false,false,false,3,68,83,15,20,5,1,"Beathard",10,0,10,21,21,21,1,85,79,1,26,69,69,8477,0,"QB",8,0,12652,9,47,36,1,11,13,2017,544604432,11,13,14,19,19,14,1,4,4,96,0,19,78,52,92,54,64,0,28,778043392,64,76,80,73,84,1,81,88,74,1,90,48,219,0,2,14,"49ers"
86,26,75,72,39,0,21,1,1993,76,12,12,17,740000,680000,60000,43,45,0,"Appalach. St.",51,240000,4,2340000,1,3,1,0,0,0,0,0,0,4,6,0,0,22,9341,0,0,63,"Ronald",2,0,76,1,81,9,"Greensboro",77,0,91,97,69,true,false,false,false,98,28,85,19,20,9,0,"Blair III",17,4,39,44,46,46,1,81,6,1,71,77,77,7896,0,"RE",79,0,17725,22,14,80,0,0,17,2016,544604479,3,7,14,45,44,45,1,10,1,99,0,17,77,21,79,31,86,0,79,778043392,69,6,6,20,6,0,6,22,15,0,88,42,270,0,3,52,"49ers"
91,24,93,84,79,0,4,8,1995,22,22,76,81,560000,560000,0,74,83,0,"Eastern Wash.",51,0,3,1660000,1,4,0,0,0,0,0,0,0,0,64,0,0,78,7020,1,0,11,"Kendrick",2,1,73,0,15,36,"Portland",42,0,88,97,76,true,false,false,false,84,79,86,22,23,67,1,"Bourne",22,0,16,19,21,48,1,89,6,1,21,76,76,9146,1,"WR",11,0,12998,16,12,32,0,0,77,2017,544604508,74,79,79,16,23,61,1,6,1,94,0,79,88,73,86,46,65,0,27,778043392,76,6,10,20,15,0,10,28,15,0,77,42,203,1,2,24,"49ers"
92,24,89,87,85,0,28,2,1995,31,20,82,60,560000,560000,0,92,67,0,"Ga. Southern",49,0,3,1670000,1,4,0,0,0,12370000,5,21050000,1,0,64,0,0,85,5983,0,1,22,"Matt",2,0,70,1,31,8,"Brooksville",41,0,84,97,74,true,false,false,false,22,90,95,15,19,59,1,"Breida",43,0,12,24,27,46,1,88,18,1,18,86,86,9149,0,"HB",18,0,12933,14,39,33,0,4,51,2017,544604541,50,58,64,24,25,35,1,6,1,77,0,62,94,80,87,67,73,0,38,778043392,74,17,20,22,25,0,24,27,14,0,88,74,190,0,2,16,"49ers"
83,25,83,90,38,1,17,3,1994,89,12,13,18,5290000,2440000,17930000,44,40,0,"Oregon",54,17930000,5,34440000,5,3,0,0,1,0,0,0,1,8,2,0,0,28,1868,0,0,92,"DeForest",2,0,79,1,88,10,"Waianae",88,0,91,97,89,true,false,false,false,99,28,84,19,20,11,0,"Buckner",38,38,33,44,46,46,1,80,6,1,91,90,90,7920,0,"RE",81,0,17542,22,76,87,0,11,17,2016,544604594,3,6,14,45,44,45,13,13,1,99,0,21,73,23,92,33,86,0,89,778043392,89,6,6,18,6,0,6,22,17,0,88,45,300,0,3,42,"49ers"
74,27,67,73,20,0,25,11,1991,15,12,8,10,840000,840000,0,33,30,0,"Auburn",51,0,4,3360000,1,4,0,0,0,0,0,0,0,14,4,0,0,18,13013,0,0,20,"Shon",2,0,77,1,44,41,"Memphis",79,0,81,97,68,true,false,false,false,78,21,74,22,24,10,1,"Coleman",76,0,12,71,74,75,0,82,6,1,10,68,68,7951,0,"LT",32,0,17792,10,85,23,0,0,12,2016,544604742,5,5,10,73,70,74,5,6,1,99,0,12,66,19,83,26,86,0,30,778043392,68,6,6,25,6,0,6,25,7,0,87,31,310,0,3,15,"49ers"
92,26,95,84,86,0,16,4,1993,29,23,77,69,4990000,2970000,4040000,86,69,0,"Indiana",59,6060000,3,9120000,2,4,0,0,0,0,0,0,0,10,4,0,0,83,3547,1,1,5,"Tevin",2,0,73,0,33,12,"Tinley Park",39,0,82,97,74,true,false,false,false,34,90,84,17,16,77,1,"Coleman",41,500,10,40,44,58,1,90,10,1,25,85,85,7054,0,"HB",5,0,2401,5,50,29,0,11,55,2015,544604743,54,62,69,34,35,44,3,2,1,78,0,69,94,84,90,76,72,0,35,778043392,74,5,10,34,15,0,10,37,13,0,84,77,210,0,4,20,"49ers"
84,25,83,75,24,0,1,7,1994,72,12,13,26,2890000,1730000,3480000,37,34,0,"Notre Dame",52,3630000,4,7680000,3,4,1,0,1,0,0,0,0,6,5,0,0,18,4580,0,0,68,"Sheldon",2,0,73,1,81,13,"Indianapolis",82,0,89,97,71,true,false,false,false,96,21,77,17,17,9,1,"Day",32,9,29,45,44,44,1,80,6,1,75,76,76,7971,0,"DT",81,0,17739,13,54,77,0,11,15,2016,544604871,3,5,13,45,46,45,5,13,1,93,0,28,70,17,82,35,82,0,82,778043392,71,6,6,21,6,0,6,23,10,0,88,32,294,0,3,45,"49ers"
