"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
17,778043395,9,778043409,false,542769431,1,0,2,2
31,778043403,28,778043417,false,542769436,1,0,2,2
31,778043402,24,778043407,false,542769421,1,0,2,2
13,778043420,28,778043406,false,542769423,1,0,3,2
27,778043394,23,778043413,false,542769424,1,0,2,2
17,778043428,24,778043401,false,542769435,1,0,3,2
28,778043427,24,778043422,false,542769429,1,0,2,2
21,778043425,7,778043405,false,542769426,1,0,2,2
33,778043412,28,778043404,false,542769427,1,0,2,2
31,778043424,32,778043396,false,542769432,1,0,3,2
31,778043411,13,778043398,false,542769433,1,0,2,2
10,778043418,29,778043426,false,542769422,1,0,3,2
23,778043392,35,778043397,false,542769425,1,0,3,2
18,778043399,24,778043423,false,542769428,1,0,3,2
24,778043416,31,778043400,false,542769430,1,0,3,2
28,778043421,31,778043419,false,542769434,1,0,3,2
