"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
26,778043411,40,778043412,false,542769392,1,1,3,0
24,778043421,10,778043396,false,542769393,1,1,2,0
6,778043403,41,778043405,false,542769394,1,1,3,0
28,778043401,17,778043426,false,542769396,1,1,2,0
17,778043395,26,778043425,false,542769398,1,1,3,0
28,778043399,34,778043423,false,542769399,1,1,3,0
44,778043409,30,778043422,false,542769400,1,1,2,0
10,778043413,50,778043416,false,542769403,1,1,3,0
27,778043406,20,778043424,false,542769389,1,1,2,0
27,778043402,17,778043419,false,542769401,1,1,2,0
21,778043400,38,778043392,false,542769404,1,1,3,0
17,778043427,20,778043397,false,542769391,1,1,3,0
50,778043394,0,778043428,false,542769397,1,1,2,0
13,778043407,48,778043417,false,542769402,1,1,3,0
16,778043404,13,778043420,false,542769390,1,1,2,0
34,778043398,35,778043418,false,542769395,1,1,3,0
