"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
29,778043418,28,778043422,false,542769377,1,1,2,1
41,778043417,0,778043411,false,542769378,1,1,2,1
28,778043427,31,778043423,false,542769379,1,1,3,1
3,778043403,15,778043407,false,542769380,1,1,3,1
26,778043420,6,778043425,false,542769381,1,1,2,1
30,778043404,42,778043409,false,542769384,1,1,3,1
49,778043395,35,778043398,false,542769385,1,1,2,1
58,778043392,35,778043413,false,542769386,1,1,2,1
3,778043428,33,778043402,false,542769375,1,1,3,1
23,778043394,17,778043419,false,542769373,1,1,2,1
10,778043401,34,778043416,false,542769374,1,1,3,1
41,778043406,17,778043396,false,542769376,1,1,2,1
38,778043399,19,778043400,false,542769383,1,1,2,1
32,778043424,10,778043421,false,542769382,1,1,2,1
44,778043426,51,778043397,false,542769388,1,1,3,1
3,778043412,41,778043405,false,542769387,1,1,3,1
